placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Kayn,TFT7_Kayn_item0,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Sett,TFT7_Sett_item0,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2
5,NA1_4386900044,TFT7_Augment_MikaelsGift,TFT6_Augment_PortableForge,TFT6_Augment_SecondWind2,0.0,,,2.0,,,1.0,,,,,0.0,0.0,0.0,,,0.0,,,1.0,,,,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,OrnnInfinityForce,UnstableConcoction,Bloodthirster,2.0,Bloodthirster,GuinsoosRageblade,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,GuinsoosRageblade,RedBuff,LocketOfTheIronSolari,1.0,,,,,,,,,,,,,,,,,,,2.0,Shroud,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NA1_4386900044,TFT7_Augment_CannoneerHotShot,TFT7_Augment_CannoneerEmblem,TFT6_Augment_CyberneticImplants2,,,,,3.0,,1.0,,1.0,1.0,,,,,,0.0,,2.0,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,RapidFireCannon,MadredsBloodrazor,UnstableConcoction,,,,,,,,,2.0,DragonsClaw,ShimmerscaleHeartOfGold,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,,,,,,,,,,,,,,,,,1.0,ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,CannoneerEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,2.0,Spatula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4386900044,TFT6_Augment_Meditation2,TFT7_Augment_MageEmblem,TFT6_Augment_PortableForge,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,0.0,1.0,,2.0,,,,,,,,,2.0,1.0,,0.0,,,,,,,,,1.0,MageEmblemItem,Quicksilver,HextechGunblade,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,LocketOfTheIronSolari,SeraphsEmbrace,3.0,,,,,,,,,,,,,,,,,,1.0,TitanicHydra,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,GargoyleStoneplate,OrnnEternalWinter,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NA1_4386900044,TFT7_Augment_SwiftshotPressTheAttack,TFT6_Augment_SalvageBin,TFT6_Augment_Diversify2,,1.0,,1.0,,,,,0.0,,2.0,,,1.0,,1.0,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,GargoyleStoneplate,Redemption,WarmogsArmor,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,ThiefsGloves,RunaansHurricane,MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,None,None,,,,,2.0,,3.0,GuinsoosRageblade,Deathblade,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,
8,NA1_4386900044,TFT7_Augment_TempestEmblem,TFT7_Augment_GadgetExpert,TFT7_Augment_TempestEyeOfTheStorm,1.0,,,1.0,,,,0.0,0.0,,,,0.0,1.0,,0.0,,,,,,,,0.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,ArchangelsStaff,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,SparringGloves,,,,,,,,,1.0,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,TempestEmblemItem,MageEmblemItem,ArchangelsStaff,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DragonsClaw,RedBuff,GargoyleStoneplate,,,,,,,,,,,,,,,,1.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA1_4386900044,TFT6_Augment_Twins2,TFT6_Augment_Distancing2,TFT7_Augment_ScalescornEmblem,2.0,,,1.0,,1.0,,0.0,,,,,,0.0,1.0,,0.0,,2.0,,,,,,0.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,BrambleVest,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,AssassinEmblemItem,Bloodthirster,WarmogsArmor,,,,,,,,,,,,,,,,,,,2.0,RapidFireCannon,Bloodthirster,RunaansHurricane,,,,,2.0,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,1.0,CavalierEmblemItem,ScalescornEmblemItem,GuinsoosRageblade,1.0,,,,,,,
2,NA1_4386900044,TFT6_Augment_Electrocharge2,TFT7_Augment_GuardianHeroicPresence,TFT7_Augment_BigFriend2,0.0,,,1.0,,,,,,2.0,,,,,1.0,,0.0,,1.0,,0.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,RedBuff,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,,,,,,,1.0,UnstableConcoction,,,,,,,,,,,,,,,,,,2.0,GuardianEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RapidFireCannon,JeweledGauntlet,GuardianAngel,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,MadredsBloodrazor,Quicksilver,GuinsoosRageblade,,,,
4,NA1_4386900044,TFT6_Augment_ClearMind,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_Diversify2,,,,1.0,3.0,,1.0,,1.0,,,,,0.0,,0.0,,2.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,MadredsBloodrazor,InfinityEdge,,,,,,,,,,,,,,,,,2.0,RedBuff,TitansResolve,Bloodthirster,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Quicksilver,CannoneerEmblemItem,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NA1_4386870347,TFT6_Augment_LudensEcho2,TFT6_Augment_ComponentGrabBag,TFT6_Augment_Diversify2,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,1.0,ArchangelsStaff,SpearOfShojin,Morellonomicon,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,ThiefsGloves,Redemption,LastWhisper,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,RedBuff,,2.0,MadredsBloodrazor,LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DragonsClaw,RedBuff,TitanicHydra,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NA1_4386870347,TFT6_Augment_SunfireBoard,TFT7_Augment_BruiserEmblem,TFT6_Augment_ThrillOfTheHunt2,1.0,,,2.0,,,1.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.0,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,TitansResolve,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TearOfTheGoddess,,,2.0,HextechGunblade,Redemption,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,1.0,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,1.0,GuardianAngel,BruiserEmblemItem,FrozenHeart,,,,,,,,
8,NA1_4386870347,TFT6_Augment_CyberneticImplants2,TFT6_Augment_SecondWind2,TFT6_Augment_PortableForge,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,ChainVest,,,,,2.0,SparringGloves,OrnnEternalWinter,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TearOfTheGoddess,,,1.0,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,NeedlesslyLargeRod,SpearOfShojin,
2,NA1_4386870347,TFT6_Augment_BlueBattery2,TFT6_Augment_Electrocharge2,TFT7_Augment_AxiomArc2,,,1.0,,,,1.0,0.0,0.0,,1.0,3.0,0.0,,,1.0,,,,1.0,,,1.0,0.0,,,,,,,,,3.0,ArchangelsStaff,Morellonomicon,RabadonsDeathcap,,,,,2.0,MadredsBloodrazor,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,InfinityEdge,RunaansHurricane,,,,,,,,,,,,2.0,Zephyr,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,GuardianAngel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,LocketOfTheIronSolari,Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA1_4386870347,TFT7_Augment_UrfsGrabBag1,TFT6_Augment_Distancing2,TFT7_Augment_MageEmblem,,0.0,,1.0,,,,,1.0,,1.0,,,3.0,,1.0,,0.0,,,0.0,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,MageEmblemItem,TitanicHydra,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,StatikkShiv,SpearOfShojin,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,MageEmblemItem,PowerGauntlet,ZekesHerald,,,,,,,,,2.0,RedBuff,TitansResolve,GargoyleStoneplate,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,StatikkShiv,StatikkShiv,
7,NA1_4386870347,TFT7_Augment_PandorasBench,TFT6_Augment_RichGetRicherPlus,TFT6_Augment_Diversify2,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,0.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,SpearOfShojin,JeweledGauntlet,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,IonicSpark,FrozenHeart,RedBuff,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,GuardianAngel,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4386870347,TFT7_Augment_ScalescornEmblem,TFT6_Augment_TomeOfTraits1,TFT6_Augment_CelestialBlessing2,2.0,,,1.0,,1.0,,,,,1.0,,0.0,0.0,0.0,,0.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FrozenHeart,InfinityEdge,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Bloodthirster,IonicSpark,RabadonsDeathcap,,,,,,,,,,,,,,,2.0,ScalescornEmblemItem,Redemption,GargoyleStoneplate,3.0,InfinityEdge,AssassinEmblemItem,RapidFireCannon,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,MadredsBloodrazor,ZekesHerald,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
