placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Gnar,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Lillia,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Ryze,TFT7_Sejuani,TFT7_Shen,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Twitch,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2,_id
6,KR_6045001747,TFT6_Augment_TomeOfTraits1,TFT6_Augment_Twins3,TFT7_Augment_PandorasBench,2.0,,,1.0,,,,,,1.0,,,,,,0.0,,1.0,,,,,,0.0,,1.0,,,,,,,,,,,,,,2.0,FrozenHeart,IonicSpark,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,AssassinEmblemItem,InfinityEdge,RunaansHurricane,,,,,,2.0,NeedlesslyLargeRod,,,1.0,,,,,,,,,,,,,,1.0,Bloodthirster,,,None,None,,,,,,,,,,,,,,,,,,,,,,KR_6045001747-xOxlo8EL8kdcHlCiC1HzTo50N922ULq1t1pK--w4HjGNHAwehSxrGZrUI7KtxobPxd8ON1RhmwHwoQ
2,KR_6045001747,TFT6_Augment_TrueTwos,TFT6_Augment_Diversify3,TFT6_Augment_ThrillOfTheHunt2,,0.0,1.0,,,1.0,,1.0,,1.0,2.0,0.0,0.0,,3.0,,0.0,,0.0,,,1.0,,,0.0,,,3.0,Morellonomicon,GuinsoosRageblade,JeweledGauntlet,,,,,1.0,,,,,,,,2.0,TitansResolve,TitansResolve,Bloodthirster,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,,,1.0,,,,2.0,ThiefsGloves,FrozenHeart,GuardianAngel,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,Quicksilver,1.0,ZekesHerald,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,KR_6045001747-khaoXg_ycKveWpRJ10NXsG0rrWlDCuLRpDA3Z4XPvpToc2An4nzLfTpnEj83ArYxpGzD3KhwLiwMWA
1,KR_6045001747,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_LudensEcho3,TFT7_Augment_AxiomArc2,,1.0,1.0,1.0,,1.0,,1.0,,1.0,0.0,,1.0,,2.0,,,,,0.0,1.0,1.0,,,0.0,,0.0,,,,,2.0,Morellonomicon,ArchangelsStaff,HextechGunblade,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,2.0,,,,2.0,EvokerEmblemItem,RapidFireCannon,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,RedBuff,GargoyleStoneplate,IonicSpark,,,,,None,None,,,,,,,,,,,,,,,,,,2.0,RapidFireCannon,GuardianAngel,,KR_6045001747-x3AIwCKXTmXnjQ3UWL3qExC2yPE-JBCFjrkODFIal8Os_qCXSocai4_oYyAE0dY8ax8_-WOM8LW62Q
8,KR_6045001747,TFT6_Augment_RichGetRicher,TFT6_Augment_HighEndShopping,TFT6_Augment_ComponentGrabBag,,1.0,1.0,0.0,,1.0,0.0,1.0,,1.0,0.0,,0.0,0.0,1.0,,,,,0.0,1.0,1.0,,,0.0,0.0,0.0,,,,,1.0,JeweledGauntlet,SpearOfShojin,MadredsBloodrazor,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,GargoyleStoneplate,TitansResolve,Quicksilver,,,,,None,None,,,,,,,,,,,,,,2.0,GargoyleStoneplate,RedBuff,,1.0,,,,KR_6045001747-UIFu210TVsps0wzs9wrHGk7YUluCxcLLeFmeT1JZMX8zHH_b52o6yBP4IlrjLdmHX4WN2xJ5QX-Ilw
7,KR_6045001747,TFT7_Augment_AxiomArc2,TFT6_Augment_BandOfThieves2,TFT6_Augment_JeweledLotus,,1.0,,0.0,,1.0,,1.0,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,,,,,,,1.0,InfinityEdge,ArchangelsStaff,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,PowerGauntlet,Shroud,,,,,,,,,,1.0,MageEmblemItem,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,Redemption,BrambleVest,KR_6045001747-oEtBznt8SiTgBNJrQIVHukxqRdkfR-SP0UJoxJCO3C--0EVi4Dt5G00AprNHcEyI3QZbGYXzvDq1lg
4,KR_6045001747,TFT7_Augment_MageConference,TFT6_Augment_ForceOfNature,TFT7_Augment_FirstAidKit2,,1.0,,1.0,0.0,,,0.0,,1.0,,,3.0,,1.0,,,0.0,,0.0,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,TitanicHydra,,,2.0,2.0,,,,2.0,Zephyr,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,RedBuff,TitanicHydra,ChainVest,,,4.0,TrainerSnax,None,None,,,,,,3.0,ThiefsGloves,GuinsoosRageblade,Quicksilver,,,,,,,,,2.0,SpearOfShojin,HextechGunblade,MadredsBloodrazor,KR_6045001747-yD5yUBLrLEsizGgha1n34_46kadQV8vUrh5VnBA9VMj8FZt72XkCVkUUoZcrJ0-NQtmK2l40ltuE5w
5,KR_6045001747,TFT6_Augment_Meditation2,TFT6_Augment_RadiantRelics,TFT6_Augment_ThrillOfTheHunt2,,2.0,,1.0,,,,,,1.0,,,0.0,,0.0,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SunfireCapeRadiant,FrozenHeart,GargoyleStoneplate,,,,,,3.0,ArchangelsStaff,RunaansHurricane,,,,,,3.0,,,,,,,,,,,,,,,3.0,GiantsBelt,GargoyleStoneplate,,,,,,,,,,,,,,,None,None,1.0,3.0,Quicksilver,MadredsBloodrazor,GuinsoosRageblade,3.0,,,,,,,,,,,,,,,,KR_6045001747-6KEIjzIbC-twpZBptQ2RffH6AI9Itgn5nZ6L_HE3W-jvznRXgRh68IFXFPvJhfEtMz2FBrt8Je0c3Q
3,KR_6045001747,TFT7_Augment_AstralIntercosmicGifts,TFT7_Augment_MageEmblem2,TFT7_Augment_PandorasBench,,2.0,,1.0,,1.0,0.0,0.0,,,0.0,,2.0,0.0,0.0,,,,,,,1.0,,,,0.0,0.0,,,,,2.0,HextechGunblade,MageEmblemItem,MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MageEmblemItem,DragonsClaw,TitansResolve,,,,,,2.0,StatikkShiv,SpearOfShojin,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ZekesHerald,Zephyr,2.0,TitanicHydra,IonicSpark,Bloodthirster,,,,,None,None,,,,,,2.0,TitanicHydra,BrambleVest,,,,,,1.0,RunaansHurricane,StatikkShiv,GuardianAngel,,,,,KR_6045001747-EJoIcH-aGeNVo4JsVjWBlC0WhPNvt90JRFAoJTprfc-8onNWN3_cjr5iMywndk5VmeeowpoZRaKkCg
5,KR_6044973861,TFT6_Augment_PortableForge,TFT6_Augment_CelestialBlessing2,TFT7_Augment_ShapeshifterBeastsDen,0.0,,,1.0,,1.0,,,,,1.0,,0.0,,,,,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,Quicksilver,Bloodthirster,OrnnDeathsDefiance,2.0,Quicksilver,GuinsoosRageblade,HextechGunblade,2.0,,,,,,,,,,,,,,,,,,1.0,Morellonomicon,Redemption,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,SpearOfShojin,,2.0,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,KR_6044973861-ZE3nrUdh9XGdmLCYhIts9rO4l8gk5ayPsbtl1DKZMc_tyN2989qP_F9oL1cPQc-O7_rj7KM6oLTZpg
6,KR_6044973861,TFT6_Augment_PortableForge,TFT6_Augment_CyberneticUplink2,TFT6_Augment_BlueBattery2,,2.0,,1.0,,1.0,0.0,0.0,,,,,1.0,0.0,0.0,,,,,0.0,1.0,,,,,0.0,0.0,,,,,1.0,SpearOfShojin,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,ChainVest,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,HextechGunblade,UnstableConcoction,,,,,None,None,,,,,,1.0,,,,,,,,1.0,MadredsBloodrazor,WarmogsArmor,RedBuff,1.0,OrnnTheCollector,,,KR_6044973861-H9-pPCm7CF0B5bN7oMEL8Mq8-29FpQh1ErudLY63fLng5QsqittkxugWK6Y9iiV_vjlfM8_L-8kGVQ
3,KR_6044973861,TFT6_Augment_CalculatedLoss,TFT6_Augment_TradeSectorPlus,TFT6_Augment_JeweledLotus,,2.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,0.0,,,,,2.0,SpearOfShojin,ArchangelsStaff,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,DragonsClaw,HextechGunblade,2.0,TitanicHydra,IonicSpark,,,2.0,RabadonsDeathcap,Chalice,Chalice,3.0,SpearOfShojin,MadredsBloodrazor,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,TitanicHydra,,,,3.0,TrainerSnax,None,None,,,,,,2.0,TitanicHydra,UnstableConcoction,,,,,,,,,,,,,,KR_6044973861-ouUga0_cxHcW0m9ANRT-7MhvfwHXCLNuDvaobvI-pBWWMZEnzeQkU5-7G8Fanx_MSnDtsdBDNxM5aA
2,KR_6044973861,TFT6_Augment_Ascension,TFT6_Augment_CelestialBlessing2,TFT6_Augment_PortableForge,,,1.0,0.0,,1.0,0.0,1.0,,1.0,2.0,1.0,,,2.0,,,,1.0,0.0,,,,0.0,0.0,,,2.0,OrnnZhonyasParadox,HextechGunblade,ArchangelsStaff,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,RecurveBow,,,,,,,2.0,WarmogsArmor,,,,,,,,2.0,RedBuff,DragonsClaw,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,2.0,TitansResolve,GuinsoosRageblade,HextechGunblade,,,,,,,,,KR_6044973861-PmRiUo-dKWuZH42-dkixhLpGTxP2l-BenDPMTGKsy2XtQf9NPqoHbfytTWltrTLSE0cekGZg6DTp4A
1,KR_6044973861,TFT7_Augment_MageEmblem,TFT6_Augment_CelestialBlessing2,TFT7_Augment_AstralIntercosmicGifts,,2.0,,1.0,,1.0,,1.0,,,,,2.0,,1.0,,,,,0.0,1.0,,,,0.0,,0.0,,,,,2.0,MadredsBloodrazor,MageEmblemItem,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,TitanicHydra,GargoyleStoneplate,Bloodthirster,,2.0,ThiefsGloves,Chalice,PowerGauntlet,3.0,Morellonomicon,LastWhisper,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,IonicSpark,FrozenHeart,Shroud,,,,,None,None,,,,,,2.0,Redemption,RedBuff,,,,,,,,,,1.0,SpearOfShojin,LocketOfTheIronSolari,Quicksilver,KR_6044973861-sZpLUMPummNlN76PeztZXTdlkNPP3DIT7FcwE63t0zhKdokgtPWyGqzuayGhMCwW85CAC1Oy4ypjyQ
7,KR_6044973861,TFT7_Augment_CavalierDevastatingCharge,TFT7_Augment_Preparation2,TFT6_Augment_PortableForge,1.0,,,0.0,0.0,,,,0.0,2.0,,,,,,0.0,,1.0,,,,,,,,0.0,,,,,,,,,,,2.0,OrnnRocketPropelledFist,WarmogsArmor,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,None,None,,,,,,,,,,,,,,,,,,,,,,KR_6044973861-p1fKYZcKyKOZ6xKUaFlvouS6ODf95seZg2Vp1MMFaX1ccJHuRURs-eDa9OV-DwNmKV6A3JZMzvIyWw
8,KR_6044973861,TFT7_Augment_MageConference,TFT6_Augment_Ascension,TFT6_Augment_BlueBattery2,,1.0,,1.0,,1.0,,1.0,,,,,2.0,,1.0,,,,,0.0,1.0,,,,1.0,,0.0,,,,,2.0,HextechGunblade,ArchangelsStaff,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,2.0,Shroud,,,2.0,GargoyleStoneplate,,,,2.0,MageEmblemItem,,,2.0,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,TitanicHydra,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,1.0,UnstableConcoction,,,KR_6044973861-S3dBe-_jC-EnSwEL5f_ppyEqAWwSmuWaQuShpzuoIdtzedkb4jLvS7JM01ipwU28jwXOHRzahwrJGw
4,KR_6044973861,TFT6_Augment_SecondWind2,TFT6_Augment_Ascension,TFT7_Augment_FirstAidKit2,,,,,,1.0,,1.0,,,2.0,0.0,,,1.0,,0.0,,1.0,,,,,,0.0,,,2.0,HextechGunblade,ArchangelsStaff,Morellonomicon,,,,,,,,,,,,,2.0,Bloodthirster,TitansResolve,InfinityEdge,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,Morellonomicon,BrambleVest,,,,,,,,,,,,,,,,,,,,2.0,JeweledGauntlet,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,KR_6044973861-0HuIXbgvWRGorWNBUAs96cOXMhK0Jf6WmzXvF1V0dZ7eS3XWcotW6N7j_a4oiF4amY9EGSZ5RcME-g
